Column,P-Value
Interface_Difference_Flexibility_Scores_Pair_2,7.555164022638217e-44
Interface_Residues_Percent_Pair_2,1.6740102233173874e-41
Global_Average_Sum_Blosum_Non-Similar_Scores_Joint,3.9609082506984005e-41
Domain_Length_Pair_1,5.365935668925071e-41
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,7.343013211358624e-41
Interface_Difference_Volume_Buried_Residue_Scores_Pair_1,8.530919886281616e-41
Interface_Difference_Volume_Side_Chains_Scores_Pair_2,1.0859469838154031e-40
Domain_Sum_Blosum_Non-Similar_Scores_Joint,1.692318177645672e-40
Interface_Difference_Polarizability_Scores_Joint,2.9002808811678583e-40
Special-Sites_Sum_Blosum_Similar_Scores_Joint,3.057765631718726e-40
Blast_Start_B_Pair_1,3.5664759783712034e-40
Interface_Difference_Polarity_Scores_Pair_1,3.833622633986955e-40
Special-Sites_Sum_Blosum_Similar_Scores_Pair_2,4.43485418730209e-39
Interface_Difference_Molecular_Weight_Scores_Joint,8.716741674687561e-39
Blast_Start_A_Pair_1,1.014778193229831e-38
Blast_Start_B_Joint,1.420265623992827e-38
Interface_Sum_Blosum_Non-Similar_Scores_Pair_1,3.1192948844851814e-38
Special-Sites_Average_Sum_Blosum_Similar_Scores_Joint,4.0253599151852916e-38
Interface_Difference_Total_Accessible_Surface_Area_Scores_Joint,4.0275930825403094e-38
Interface_Overlapping_Domain_Count_Pair_1,6.513828958003708e-38
Interface_Overlapping_Domain_Count_Joint,8.28866622097993e-38
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,4.851310873047652e-37
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_1,1.0043878837538924e-36
Interface_Difference_Polarizability_Scores_Pair_2,1.696502209086322e-36
Domain_Non-Matching-Gap_Count_Pair_2,2.426697914572368e-35
Interface_Difference_Molecular_Weight_Scores_Pair_2,3.103452299535449e-35
Interface_Difference_Total_Accessible_Surface_Area_Scores_Pair_2,3.576660754451534e-35
Interface_Difference_Volume_Buried_Residue_Scores_Joint,4.5760357685667186e-35
Interface_Average_Sum_Blosum_Similar_Scores_Pair_2,5.607316934193714e-35
Interface_Difference_Polarity_Scores_Joint,5.727663208668485e-34
Interface_Sum_Blosum_Non-Similar_Scores_Joint,1.9461824417749287e-33
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_1,2.3764322594424293e-33
Interface_Sum_Blosum_Non-Similar_Scores_Pair_2,2.6602993117629085e-33
Blast_Mismatch_Percent_Pair_2,4.024728795198862e-33
Global_Non-Matching-Gap_Count_Pair_2,4.410021424633929e-33
Interface_Difference_Volume_Buried_Residue_Scores_Pair_2,4.4887617768099234e-33
Interface_Difference_Hydrophobicity_Scores_Pair_1,1.8127310793078328e-32
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Joint,9.404820395175474e-32
Interface_Non-Matching-Gap_Count_Pair_2,9.772956068836241e-32
Interface_Difference_Polarity_Scores_Pair_2,1.6778043963528134e-31
Global_Matching_Percent_Pair_2,2.225914595898166e-31
Blast_Identical_Percent_Pair_2,2.44496834785154e-31
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_1,3.4967209342762238e-31
Global_Non-Matching-Gap_Count_Pair_1,1.0786230381123508e-30
Interface_Difference_Hydrophobicity_Scores_Pair_2,1.4265214643750512e-30
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_2,2.8274578078273888e-30
Interface_Non-Matching-Gap_Count_Joint,6.489901625444594e-30
Domain_Non-Matching-Gap_Percent_Pair_2,7.957648894373584e-30
Domain_Sum_Blosum_Similar_Scores_Pair_1,2.296568657982018e-29
Interface_Difference_Hydrophobicity_Scores_Joint,2.302964019613078e-29
Blast_Start_A_Joint,9.397541390760076e-29
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_2,2.5480237266583377e-28
Interface_Difference_Turn_Count_Pair_1,1.690760677794148e-27
Interface_Overlapping_Special-Sites_Percent_Pair_1,2.7473685201922126e-26
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Joint,5.28349672917446e-26
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,7.354478397079157e-26
Interface_Difference_Helix_Count_Pair_2,8.106518556434543e-26
Special-Sites_Sum_Blosum_Positive_Scores_Joint,8.83734020176375e-26
Interface_Difference_Helix_Count_Pair_1,9.288938571306875e-26
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Joint,1.176558314285417e-25
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_2,1.8021373659344576e-25
Interface_Difference_Sheet_Count_Pair_1,2.1172848031585036e-25
Domain_Average_Sum_Blosum_Positive_Scores_Joint,2.6576311568530526e-25
Blast_Start_B_Pair_2,3.5245960677915215e-25
Special-Sites_Sum_Blosum_Positive_Scores_Pair_1,3.9515124054375897e-25
Interface_Difference_Turn_Count_Pair_2,5.565625584354407e-25
Global_Non-Matching-Gap_Percent_Pair_1,6.607501817801552e-25
Interface_Difference_Turn_Count_Joint,7.403656940077121e-25
Blast_Positive_Percent_Pair_2,4.706803022745724e-24
Interface_Overlapping_Special-Sites_Count_Pair_1,3.581377642623762e-23
Interface_Difference_Sheet_Count_Pair_2,6.260573256358835e-23
Domain_Average_Sum_Blosum_Matching_Scores_Joint,6.745921262784341e-23
Domain_Non-Matching_Count_Joint,7.312299028765859e-23
Domain_Average_Sum_Blosum_Non-Similar_Scores_Joint,7.980805139868852e-23
Global_Average_Sum_Blosum_Matching_Scores_Pair_2,9.215689108270211e-23
Special-Sites_Sum_Blosum_Positive_Scores_Pair_2,1.6227745177475435e-22
Global_Average_Sum_Blosum_Positive_Scores_Pair_2,4.653443385727076e-22
Interface_Difference_Helix_Count_Joint,5.765589180910586e-22
Global_Average_Sum_Blosum_Similar_Scores_Pair_1,6.747079601588793e-22
Domain_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,7.462901492839161e-22
Interface_Non-Matching_Count_Pair_2,2.1912599988116638e-21
Interface_Difference_Sheet_Count_Joint,2.9805680100652103e-21
Interface_Average_Sum_Blosum_Similar_Scores_Pair_1,3.1662819465610755e-21
Domain_Length_Pair_2,3.3367193923504417e-21
Global_Average_Sum_Blosum_Similar_Scores_Joint,1.4425563345334666e-20
Domain_Average_Sum_Blosum_Positive_Scores_Pair_1,2.728634574779303e-20
Domain_Length_Joint,2.9306905511090275e-20
Interface_Non-Matching_Count_Pair_1,5.160551144763219e-20
Global_Non-Matching-Gap_Percent_Joint,1.819276788681504e-19
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,3.5411486943589794e-19
Domain_Matching_Percent_Joint,9.547595283781323e-19
Domain_Sum_Blosum_Similar_Scores_Joint,1.6117437572901e-17
Interface_Average_Sum_Blosum_Similar_Scores_Joint,4.4506755153641915e-17
Domain_Sum_Blosum_Positive_Scores_Pair_1,4.774410358516086e-17
Interface_Non-Matching_Count_Joint,7.45024200968561e-17
Domain_Sum_Blosum_Non-Similar_Scores_Pair_2,8.817102217582499e-17
Interface_Residues_Length_Pair_1,1.5682403863571687e-16
Domain_Average_Sum_Blosum_Matching_Scores_Pair_1,1.984528424887081e-16
Domain_Non-Matching_Count_Pair_2,3.7061748146662826e-14
Interface_Sum_Blosum_Similar_Scores_Pair_2,5.907292534626348e-14
Special-Sites_Sum_Blosum_Matching_Scores_Pair_2,1.0287926894313214e-13
Interface_Residues_Length_Joint,1.1884885817383393e-13
Interface_Overlapping_Special-Sites_Percent_Joint,1.2122623787437557e-13
Special-Sites_Matching_Count_Pair_2,2.9856521230684083e-13
Domain_Matching_Percent_Pair_1,3.152131916459004e-13
Domain_Matching_Count_Pair_1,4.537606911652588e-13
Domain_Sum_Blosum_Similar_Scores_Pair_2,5.986203472642618e-13
Special-Sites_Sum_Blosum_Matching_Scores_Joint,6.005367224456645e-13
Domain_Sum_Blosum_Matching_Scores_Pair_1,6.817649026710903e-13
Special-Sites_Matching_Count_Joint,3.1511417142817717e-12
Interface_Residues_Length_Pair_2,3.3506434034267608e-12
Interface_Overlapping_Special-Sites_Count_Joint,5.692666266375685e-12
Interface_Sum_Blosum_Similar_Scores_Pair_1,8.589502689985879e-12
Blast_Start_A_Pair_2,1.46667032292118e-11
Special-Sites_Matching_Count_Pair_1,1.862791242010858e-11
Special-Sites_Sum_Blosum_Matching_Scores_Pair_1,4.886680568802091e-11
Blast_Coverage_B_Joint,1.1464272624718813e-09
Domain_Sum_Blosum_Positive_Scores_Joint,2.685178870736737e-09
Global_Non-Matching-Gap_Percent_Pair_2,5.573895565867778e-09
Blast_Coverage_A_Joint,6.5059462094532184e-09
Blast_Coverage_B_Pair_2,1.1767827715105972e-08
Special-Sites_Non-Matching-Gap_Percent_Pair_2,4.698337019488057e-08
