Column,P-Value
Interface_Difference_Helix_Count_Pair_1,1.693887896330665e-05
Domain_Sum_Blosum_Positive_Scores_Pair_2,1.69495901679342e-05
Blast_Identical_Percent_Joint,1.908460644803155e-05
Interface_Average_Difference_Helix_Percent_Joint,2.1298286628577554e-05
Interface_Difference_Helix_Count_Joint,2.307701720706855e-05
Interface_Residues_Length_Joint,2.4637104694626657e-05
Interface_Overlapping_Special-Sites_Count_Joint,2.7186397023033184e-05
Interface_Sum_Blosum_Positive_Scores_Pair_2,2.763022514574311e-05
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_1,3.0133901574984697e-05
Domain_Non-Matching-Gap_Percent_Pair_2,3.541542699081964e-05
Global_Matching_Count_Joint,3.568584110277305e-05
Blast_Start_B_Joint,3.576908843104799e-05
Interface_Difference_Total_Accessible_Surface_Area_Scores_Joint,3.870838020887063e-05
Domain_Average_Sum_Blosum_Non-Similar_Scores_Joint,4.098969623524447e-05
Interface_Overlapping_Special-Sites_Percent_Joint,4.258448757834431e-05
Interface_Matching_Percent_Joint,4.411331972160689e-05
Interface_Overlapping_Domain_Percent_Pair_1,4.565890480301747e-05
Blast_Positive_Count_Pair_2,4.819178797896993e-05
Global_Average_Sum_Blosum_Similar_Scores_Pair_2,4.915622078823992e-05
Global_Non-Matching-Gap_Count_Pair_1,5.5330496492555226e-05
Interface_Matching_Percent_Pair_1,6.612115371913149e-05
Interface_Overlapping_Domain_Count_Pair_2,7.444489370715438e-05
Interface_Residues_Percent_Pair_2,7.639492319888011e-05
Interface_Average_Difference_Turn_Percent_Pair_2,8.676698930621142e-05
Interface_Sum_Blosum_Matching_Scores_Pair_2,9.301119295443668e-05
Domain_Average_Sum_Blosum_Similar_Scores_Pair_2,0.00013270815957693762
Interface_Difference_Polarizability_Scores_Joint,0.00014895833112890205
Blast_Coverage_A_Pair_1,0.0001598598603117201
Global_Average_Sum_Blosum_Non-Similar_Scores_Joint,0.00016222400464268086
