Column,P-Value
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_2,0.004104337614461376
Interface_Average_Difference_Sheet_Percent_Pair_1,0.004544517739693952
Interface_Overlapping_Domain_Count_Pair_1,0.004881814459219488
Special-Sites_Non-Matching-Gap_Count_Pair_2,0.0054178797621598695
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Pair_1,0.005445026138548483
Interface_Difference_Flexibility_Scores_Pair_2,0.005819405565087776
Interface_Average_Difference_Polarizability_Scores_Pair_1,0.006222491897749222
Special-Sites_Non-Matching-Gap_Percent_Pair_2,0.0072615764967943934
Interface_Difference_Volume_Side_Chains_Scores_Pair_1,0.007722915388735444
Interface_Overlapping_Special-Sites_Count_Pair_2,0.00848309535761854
Interface_Average_Difference_Sheet_Percent_Pair_2,0.00927928443975
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Joint,0.011408248412275852
Interface_Average_Difference_Volume_Buried_Residue_Scores_Pair_1,0.011424254047422231
Interface_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,0.012561312341122456
Interface_Overlapping_Special-Sites_Percent_Pair_2,0.013725501389185315
Blast_Bitscore_Pair_1,0.0207520386679296
Global_Score_Joint,0.02422486175621551
Global_Score_Pair_1,0.02895963178227326
Blast_Identical_Count_Pair_2,0.0327754351670298
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_2,0.03581320257707835
Interface_Average_Sum_Blosum_Non-Similar_Scores_Joint,0.0424928906625662
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_1,0.044295757979446466
Interface_Average_Difference_Polarizability_Scores_Joint,0.05293109495355226
Interface_Average_Difference_Polarity_Scores_Pair_1,0.053663368722818475
Interface_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,0.05444574194208571
Blast_Bitscore_Joint,0.06564600850713703
Interface_Average_Difference_Helix_Percent_Pair_2,0.06609419482951753
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Joint,0.07663002347442523
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,0.07694381740829986
Blast_E-Value_Joint,0.07800269684723175
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,0.0817956504649548
Interface_Average_Difference_Flexibility_Scores_Joint,0.08819029691448027
Interface_Average_Difference_Polarity_Scores_Joint,0.0945126517102402
Interface_Non-Matching-Gap_Percent_Joint,0.09897616846258483
Interface_Non-Matching-Gap_Count_Pair_2,0.10404488757222308
Interface_Overlapping_Special-Sites_Percent_Joint,0.10658507770861886
Interface_Average_Difference_Volume_Buried_Residue_Scores_Joint,0.1257039578285561
Interface_Overlapping_Domain_Count_Joint,0.13741449088056273
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_1,0.15272579585710155
Interface_Average_Difference_Flexibility_Scores_Pair_2,0.15363008363334024
Interface_Average_Difference_Molecular_Weight_Scores_Joint,0.16349640278545624
Interface_Average_Difference_Hydrophobicity_Scores_Pair_2,0.17020627025312618
Interface_Non-Matching-Gap_Percent_Pair_2,0.17964596252649057
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_2,0.18995661085161675
Interface_Average_Difference_Turn_Percent_Pair_2,0.21082437539546484
Special-Sites_Non-Matching-Gap_Percent_Joint,0.2332184582911691
Special-Sites_Non-Matching-Gap_Count_Joint,0.23326250644089325
Interface_Average_Sum_Blosum_Similar_Scores_Pair_2,0.2399105641291902
Interface_Overlapping_Special-Sites_Count_Joint,0.2796977524743084
Interface_Overlapping_Special-Sites_Count_Pair_1,0.28460051222398525
Interface_Difference_Flexibility_Scores_Pair_1,0.35292210378703326
Interface_Non-Matching_Percent_Pair_1,0.3605115555649835
Interface_Overlapping_Special-Sites_Percent_Pair_1,0.46436828745445846
Interface_Average_Difference_Volume_Side_Chains_Scores_Joint,0.4825901625182968
Interface_Non-Matching-Gap_Count_Joint,0.4855928414054534
Interface_Gap_Score_Joint,0.4999961895782815
Interface_Gap_Score_Pair_2,0.4999961895782815
Interface_Gap_Score_Pair_1,0.4999961895782815
